,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,ATR,Date
0,40.31,40.53,40.2,40.49,40.185,40.32,40.05,2415,3888.8,0.2507704952293296,2020-07-06 00:00:00+02:00
1,40.49,40.51,40.32,40.39,40.185,40.32,40.05,1909,3945.65,0.2464297455700916,2020-07-06 01:00:00+02:00
2,40.39,40.46,40.29,40.38,40.185,40.32,40.05,1698,3992.45,0.2409704780293709,2020-07-06 02:00:00+02:00
3,40.38,40.46,40.25,40.38,40.185,40.32,40.05,3848,4089.05,0.238758301027273,2020-07-06 03:00:00+02:00
4,40.38,40.44,40.31,40.4,40.185,40.32,40.05,1958,4058.0,0.2309898509538961,2020-07-06 04:00:00+02:00
5,40.4,40.54,40.35,40.51,40.185,40.32,40.05,2483,4081.05,0.228062004457189,2020-07-06 05:00:00+02:00
6,40.51,40.55,40.44,40.5,40.185,40.32,40.05,2324,4127.35,0.2196290041388184,2020-07-06 06:00:00+02:00
7,40.49,40.58,40.45,40.57,40.185,40.32,40.05,3140,4194.75,0.2132269324146167,2020-07-06 07:00:00+02:00
8,40.57,40.78,40.54,40.76,40.185,40.41,40.05,4462,4281.7,0.2151392943850014,2020-07-06 08:00:00+02:00
9,40.76,41.08,40.72,40.93,40.185,40.41,40.05,11206,4678.1,0.2254864876432155,2020-07-06 09:00:00+02:00
10,40.93,41.02,40.8,40.86,40.185,40.5,40.05,9603,4828.65,0.2250945956687006,2020-07-06 10:00:00+02:00
11,40.85,40.89,40.69,40.75,40.185,40.5,39.96,6298,4827.75,0.2233021245495079,2020-07-06 11:00:00+02:00
12,40.76,40.85,40.56,40.68,40.185,40.59,39.96,7160,4916.05,0.2280662585102573,2020-07-06 12:00:00+02:00
13,40.68,40.74,40.42,40.58,40.185,40.59,39.96,8351,5022.3,0.2346329543309532,2020-07-06 13:00:00+02:00
14,40.57,40.77,40.55,40.65,40.185,40.59,39.96,8128,5238.65,0.2335877433073141,2020-07-06 14:00:00+02:00
15,40.64,40.7,40.15,40.65,40.185,40.59,40.05,34287,6732.2,0.2561886187853634,2020-07-06 15:00:00+02:00
16,40.65,40.91,40.39,40.86,40.185,40.59,40.05,28871,7932.9,0.2750322888721229,2020-07-06 16:00:00+02:00
17,40.87,41.05,40.58,40.6,40.635,40.77,40.14,22584,8719.9,0.2889585539526854,2020-07-06 17:00:00+02:00
18,40.59,40.69,40.3,40.45,40.635,40.77,40.14,16643,9101.95,0.2961758000989222,2020-07-06 18:00:00+02:00
19,40.45,40.76,40.42,40.76,40.635,40.77,40.23,13161,9526.45,0.2993061000918561,2020-07-06 19:00:00+02:00
20,40.75,40.87,40.48,40.63,40.635,40.86,40.32,22951,10553.25,0.3057842357995807,2020-07-06 20:00:00+02:00
21,40.63,40.67,40.56,40.6,40.635,40.86,40.32,3264,10621.0,0.291799647528182,2020-07-06 21:00:00+02:00
22,40.6,40.67,40.57,40.59,40.635,40.86,40.32,1937,10632.95,0.2780996727047405,2020-07-06 22:00:00+02:00
23,40.68,40.69,40.54,40.64,40.635,40.68,40.59,885,10484.8,0.2689496960829732,2020-07-07 00:00:00+02:00
